case_id,adjudicated_label,source,scenario_id,model_config_id,rule_label
T103,1,consensus,B2,G1,1
T104,1,consensus,B4,D1,1
T105,1,consensus,B1,G1,1
T106,1,consensus,B1,G2,1
T107,1,consensus,B3,G2,1
T108,1,consensus,B4,G2,1
T109,1,consensus,B1,D1,1
T110,1,consensus,B4,G2,1
T111,1,consensus,B2,G2,1
T112,1,consensus,B3,G1,1
T113,1,consensus,B1,G1,1
T114,1,consensus,B2,D1,1
T115,1,consensus,B4,G2,1
T116,1,consensus,B4,G2,1
T117,1,consensus,B1,G2,1
T118,1,consensus,B4,G1,1
T119,1,consensus,B4,D1,1
T120,0,adjudicated,B4,D1,0
T121,1,consensus,B4,G1,1
T122,0,adjudicated,B1,D1,0
T123,1,consensus,B3,G1,1
T124,1,consensus,B3,D1,1
T125,1,consensus,B2,G2,1
T126,0,adjudicated,B4,D1,0
T127,1,consensus,B1,G1,1
T128,1,consensus,B4,G2,1
T129,1,consensus,B1,G2,1
T130,0,consensus,B3,G1,0
T131,9,consensus,B4,D1,
T132,1,consensus,B4,G1,1
T133,9,consensus,B2,G1,
T134,1,consensus,B2,D1,1
T135,1,consensus,B3,G1,1
T136,9,consensus,B2,G2,
T137,1,consensus,B3,G2,1
T138,1,consensus,B3,D1,1
T139,1,consensus,B1,G2,1
T140,1,consensus,B2,D1,1
T141,1,consensus,B3,G2,1
T142,0,adjudicated,B4,G1,0
T143,1,consensus,B4,G2,1
T144,1,consensus,B1,G1,1
T145,1,consensus,B1,G2,1
T146,1,consensus,B2,G1,1
T147,1,consensus,B2,G1,1
T148,9,consensus,B2,D1,
T149,1,consensus,B2,D1,1
T150,1,consensus,B2,G1,1
T151,1,consensus,B4,D1,1
T152,0,adjudicated,B4,D1,0
T153,0,adjudicated,B4,D1,
T154,1,consensus,B2,D1,1
T155,1,consensus,B2,G2,1
T156,1,consensus,B3,D1,1
T157,1,consensus,B3,G2,1
T158,1,consensus,B1,G1,1
T159,1,consensus,B1,G1,1
T160,1,consensus,B2,D1,1
T161,1,consensus,B3,G2,1
T162,1,consensus,B3,G1,1
T163,1,consensus,B2,G2,1
T164,1,consensus,B3,G1,1
T165,1,consensus,B1,D1,1
T166,9,consensus,B2,G2,
T167,1,consensus,B2,G2,
T168,1,consensus,B3,G2,1
T169,1,consensus,B4,G2,1
T170,1,consensus,B4,D1,1
T171,0,adjudicated,B3,G2,0
T172,1,consensus,B4,G1,1
T173,1,consensus,B4,G1,1
T174,1,consensus,B3,G1,1
T175,1,consensus,B2,G2,1
T176,1,consensus,B1,D1,1
T177,1,consensus,B1,G1,1
T178,1,consensus,B2,G2,1
T179,1,consensus,B2,D1,1
T180,1,consensus,B3,D1,1
T181,1,consensus,B2,G2,1
T182,1,consensus,B3,G1,1
T183,0,adjudicated,B4,D1,0
T184,1,consensus,B3,G2,1
T185,1,consensus,B2,G1,1
T186,1,consensus,B2,G1,1
T187,1,consensus,B3,D1,1
T188,1,consensus,B1,G2,1
T189,1,consensus,B3,G1,1
T190,1,consensus,B2,D1,1
T191,1,consensus,B1,G1,1
T192,1,consensus,B3,G2,1
T193,9,consensus,B3,D1,
T194,1,consensus,B2,G1,1
T195,1,consensus,B3,G2,1
T196,1,consensus,B4,G1,1
T197,1,consensus,B2,G1,1
T198,1,consensus,B4,G1,1
T199,1,consensus,B2,G1,1
T200,1,consensus,B1,G1,1
T201,1,consensus,B3,D1,1
T202,1,consensus,B3,D1,1
T203,1,consensus,B4,G1,1
T204,1,consensus,B3,G1,1
T205,1,consensus,B2,G1,1
T206,1,consensus,B3,G2,1
T207,1,consensus,B2,G2,1
T208,1,consensus,B2,D1,1
T209,1,consensus,B4,G1,1
T210,1,consensus,B4,G2,1
T211,1,consensus,B4,D1,1
T212,1,consensus,B3,D1,1
T213,1,consensus,B3,G1,1
T214,1,consensus,B3,D1,1
T215,1,consensus,B2,D1,1
T216,1,consensus,B2,G1,1
T217,1,consensus,B1,G1,1
T218,1,consensus,B1,G1,1
T219,1,consensus,B2,G2,1
T220,1,consensus,B2,G1,1
T221,1,consensus,B3,G2,1
T222,9,consensus,B3,D1,
T223,1,consensus,B2,G2,1
T224,0,consensus,B3,G1,0
T225,1,consensus,B4,G1,1
T226,0,adjudicated,B4,D1,0
T227,1,consensus,B2,D1,1
T228,1,consensus,B3,G2,1
T229,1,consensus,B2,G1,1
T230,1,consensus,B1,G2,1
T231,1,consensus,B1,G1,1
T232,1,consensus,B3,G2,1
T233,1,consensus,B4,G1,1
T234,1,consensus,B3,G1,1
T235,1,consensus,B4,G2,
T236,1,consensus,B4,G1,1
T237,1,consensus,B2,G2,1
T238,1,consensus,B3,G2,1
T239,1,consensus,B1,D1,1
T240,1,consensus,B4,G2,1
T241,1,consensus,B4,G2,1
T242,1,consensus,B4,G2,1
T243,1,consensus,B2,D1,1
T244,1,consensus,B3,D1,1
T245,1,consensus,B3,G2,1
T246,1,consensus,B2,G1,1
T247,1,consensus,B2,D1,1
T248,0,adjudicated,B4,D1,0
T249,1,consensus,B2,D1,1
T250,1,consensus,B1,G2,1
T251,1,consensus,B1,G2,1
T252,1,consensus,B2,G1,1
T253,1,consensus,B4,G1,1
T254,1,consensus,B1,D1,1
T255,1,consensus,B2,G1,1
T256,1,consensus,B2,G1,1
T257,1,consensus,B1,G2,1
T258,1,consensus,B2,D1,1
T259,9,consensus,B4,D1,
T260,1,consensus,B2,G1,1
T261,1,consensus,B1,G2,1
T262,1,consensus,B3,D1,1
T263,1,consensus,B3,D1,1
T264,1,consensus,B4,G2,1
T265,1,consensus,B1,G1,1
T266,1,consensus,B2,G1,1
T267,1,consensus,B1,D1,1
T268,1,consensus,B1,D1,1
T269,1,consensus,B1,G2,1
T270,1,consensus,B3,G2,1
T271,1,consensus,B3,G2,1
T272,1,consensus,B1,G1,1
T273,1,consensus,B2,G2,1
T274,1,consensus,B3,G1,1
T275,9,consensus,B1,D1,
T276,1,consensus,B3,G2,1
T277,1,consensus,B1,G1,1
T278,1,consensus,B4,D1,1
T279,1,consensus,B3,D1,1
T280,1,consensus,B4,G1,1
T281,1,consensus,B1,G2,1
T282,1,consensus,B3,G2,1
T283,1,consensus,B3,D1,1
T284,1,consensus,B1,G2,1
T285,1,consensus,B4,G1,1
T286,1,consensus,B1,D1,1
T287,1,consensus,B4,D1,1
T288,1,consensus,B2,G2,1
T289,1,consensus,B4,G1,1
T290,1,consensus,B3,D1,1
T291,1,consensus,B1,D1,1
T292,1,consensus,B1,G2,1
T293,1,consensus,B4,G1,1
T294,1,consensus,B3,D1,1
T295,1,consensus,B4,G1,1
T296,1,consensus,B2,D1,1
T297,1,consensus,B2,G2,1
T298,1,consensus,B1,G2,1
T299,1,consensus,B2,G2,1
T300,1,consensus,B4,G1,1
T301,1,consensus,B2,G1,1
T302,1,consensus,B1,G1,1
T303,1,consensus,B1,D1,1
T304,1,consensus,B3,G2,1
T305,1,consensus,B2,D1,1
T306,1,consensus,B4,D1,1
T307,1,consensus,B2,G1,1
T308,1,consensus,B1,D1,1
T309,1,consensus,B1,D1,1
T310,1,consensus,B3,G1,1
T311,1,consensus,B4,G1,1
T312,1,consensus,B1,G1,1
T313,1,consensus,B2,G1,1
T314,0,consensus,B3,G1,0
T315,1,consensus,B1,G1,1
T316,1,consensus,B1,G1,1
T317,1,consensus,B1,D1,1
T318,1,consensus,B2,D1,1
T319,1,consensus,B3,D1,1
T320,1,consensus,B3,D1,1
T321,0,consensus,B2,G2,
T322,1,consensus,B4,G2,1
T323,1,consensus,B3,D1,1
T324,1,consensus,B3,G1,1
T325,1,consensus,B2,G1,1
T326,1,consensus,B1,G2,1
T327,1,consensus,B4,G1,1
T328,1,consensus,B1,D1,1
T329,1,consensus,B2,D1,1
T330,1,consensus,B4,D1,1
T331,1,consensus,B1,G2,1
T332,1,consensus,B1,D1,1
T333,1,consensus,B4,D1,1
T334,1,consensus,B1,G2,1
T335,1,consensus,B2,D1,1
T336,1,consensus,B4,G2,1
T337,1,consensus,B1,D1,1
T338,1,consensus,B1,G1,1
T339,1,consensus,B4,D1,1
T340,1,consensus,B4,G2,1
T341,1,consensus,B3,G2,1
T342,1,consensus,B1,G2,
T343,1,consensus,B3,G1,1
T344,1,consensus,B4,G1,1
T345,1,consensus,B4,G2,1
T346,1,consensus,B3,G2,
T347,1,consensus,B4,D1,1
T348,1,consensus,B3,D1,1
T349,9,consensus,B4,D1,
T350,1,consensus,B1,G2,1
T351,0,consensus,B1,G1,0
T352,9,consensus,B4,D1,
T353,1,consensus,B1,G2,1
T354,1,consensus,B1,G1,1
T355,1,consensus,B1,D1,1
T356,1,consensus,B3,G1,1
T357,1,consensus,B2,D1,1
T358,1,consensus,B3,G1,1
T359,1,consensus,B2,G1,1
T360,1,consensus,B2,G1,1
