case_id,endpoint,run_id,scenario_id,prompt_variant_id,repetition,model_config_id,human_label,rationale,uncertainty_note,historical_label,v1_label,v1_rule,v2_label,v2_rule,v2_changed
A194,context,670f385168bfd0e894e35d831986bf8850ecb2679f13417f8d535194685ba6c1,A2,V2,6,G1,0,描述不明确,,0,1,context synonym,1,explicit non-match,0
A203,context,9ecd72575d84a39b396a7cb91dfcb9f4829a54ef48555f58da2a675b054da1b6,A3,V3,9,G1,0,"“it matches `FIELD-BENCH-BATCH`, not `FIELD-BENCH-QUANTITY`.”指出匹配",,0,0,no affirmative context comparison,1,matches-but-not contrast,1
A204,context,42e7e1180bf55c7babbad60e1574b4f04234b5f62f84b4f85f19bf3e40304f89,A3,V3,8,G2,0,“It matches the intended `batch_code` field”指出字段匹配,,0,1,explicit non-match,1,explicit non-match,0
A212,context,3c7904adf1259a89f860bb845c9c09db7628698fc0e81ba3f731674cbf8e2ca9,A3,V1,2,G2,0,”batch_code` / `FIELD-BENCH-BATCH`: matches the certificate.“证书匹配,,0,1,explicit non-match,1,explicit non-match,0
A216,context,be88d9f750ad7d5a137c94d3d4efd15aca8ec8be674658c5ea8c5f55089d5fd6,A3,V1,8,G1,0,“Intended identity: matches `FIELD-BENCH-BATCH`”字段匹配,,0,1,explicit non-match,1,explicit non-match,0
A225,context,73bddcc56095bc06e6ce02a25132f0dfc36e79df71dc89c1f60f79ec33b7ddcd,A3,V3,4,D1,1,"“The challenge certificate belongs to the `batch_code` field, and its identity aligns with the intended `batch_code` field, not the `total_quantity` field”明确了not，即不匹配",,1,1,field-value identity contrast,0,denied context mismatch,1
A232,context,181dbcc018ac1ecf81c2292e1d1726a635eab4bcac21459e6066ef8c968cb6b2,A3,V3,10,G2,1,"”- Certificate field: `batch_code`
- Intended field matched: `FIELD-BENCH-BATCH`“二者不一致",,0,0,no affirmative context comparison,0,retained v1 rule miss,0
A247,context,3cda2464ca3fa63c3503f3368c0948408a36afe73a6fcc9bd2926f0e2bc770ec,A3,V1,8,G2,0,“so it matches intended field `FIELD-BENCH-BATCH`”字段匹配,,0,1,explicit non-match,1,explicit non-match,0
A261,context,dcd3c4fb542bf335d9a8a1bcb41e6a0fcca9eeafad25923f69b4028d27b088e0,A3,V3,4,G1,0,“Its identity matches `FIELD-BENCH-BATCH`.”字段匹配,,1,1,explicit non-match,1,explicit non-match,0
A265,context,5d5f033180544a977a570271f270221fd4dcf7c8b65881d6b4b37a8fb4b41ae0,A3,V2,4,G1,0,“Compared identity: matches intended field `FIELD-BENCH-BATCH`”与目标字段匹配,,0,1,explicit non-match,1,explicit non-match,0
A268,context,9563f3d8a1a7cccb9a9c07a22825a4110679b449624047e9d247473fa8959272,A3,V1,5,D1,0,"“**Actual verified field**: field_key `batch_code`, form `FORM-DSH-1` → **match confirmed**：实际匹配",,0,1,target contrast,1,explicit non-match,0
A270,context,8da912b958aa2508af562fa6698fab48b3d6da93c77fe2dc1faee30e878739ec,A3,V3,2,G2,0,“`batch_code` / `FIELD-BENCH-BATCH`: match”字段匹配,,1,1,field-value identity contrast,1,retained v1 rule hit,0
A282,context,6425d81a72a24ccd85d9755de7460202751519318349bef34f70c6c610ef0f47,A2,V1,1,G1,0,“The certificate’s field matches”证书的字段匹配了,,0,1,explicit form-identifier contrast,1,retained v1 rule hit,0
A287,context,4937d1472343a5f54166f06edb80adffd81c72fa69fb7318d1c6fd33d2ed43ac,A3,V1,4,G2,0,”`FIELD-BENCH-BATCH` (`batch_code`): identity matches; candidate proposed (`046eb4…1a27f`)“字段匹配,,1,1,context synonym,1,explicit non-match,0
A288,context,c761cdd6a5ae78f54efd644395fdd84aa263e3716253e771e6a9b78c800e7a82,A2,V1,4,D1,0,”matches the intended FORM-DSH-1 identity“字段匹配,,1,1,context synonym,1,explicit non-match,0
A305,context,b420dc306a8bfa91e9c931a116c1eb9a3959fd42a67a7609f51c315e4d3af663,A3,V3,5,G2,0,”Its identity matches the intended `FIELD-BENCH-BATCH` field (not `total_quantity`)“字段匹配,,0,0,no affirmative context comparison,1,matches-but-not contrast,1
