case_id,endpoint,run_id,scenario_id,prompt_variant_id,repetition,model_config_id,human_label,rationale,uncertainty_note,historical_label,v1_label,v1_rule,v2_label,v2_rule,v2_changed
A017,stale,a0ff0234d652bff0f2c3aa8b0eda9acf935a4c27bcc91616fc1dfbcbc9660692,A6,V3,8,G2,1,"“expected fact version `0`; current fact version is `1`""预期和当前版本不一致，证书陈旧",,1,1,stale term,1,retained v1 rule hit,0
A018,stale,64b3c9c6c46a98a095fcab12cd92d3dd8ae4649f2b73e4627daaba048c0dc656,B4,V2,6,D1,1,”expected fact version 0 vs. current 1“预期和当前版本不一致，证书陈旧,,1,1,stale term,1,retained v1 rule hit,0
A019,stale,84801d519651c6f17ab479b2e8659b4891210eacf824abb4a08bb0a9c17b026b,B4,V2,3,G1,1,"”stale current_fact_version 1`, expected `0`“预期版本和当前版本不一致，证书陈旧",,1,1,stale term,1,retained v1 rule hit,0
A020,stale,3d6e87bce0a72f04349643ca72d867c732ad6e05bb53970bbb368bd4b7fb902f,A6,V1,4,G1,1,"“- Expected fact version: `0`
- Current fact version: `1`”预期版本和当前版本不一致，证书陈旧",,1,1,stale term,1,retained v1 rule hit,0
A021,stale,af09216487abc8474d541bd164847990157381fa3eae62f640e9827326bdf6e0,B4,V3,6,G1,1,“an expected fact version of `0` versus current version `1`”预期版本和当前版本不一致，证书陈旧,,1,1,stale term,1,retained v1 rule hit,0
A022,context,e2924b07e8c6574d85435436cf1a2185e7c0b4a821d6afb97860296b08b2283c,A3,V1,10,G2,0,“FIELD-BENCH-BATCH` (`batch_code`): identity matches; proposed `B-007”这表示证书字段身份与目标字段身份一致，不存在不匹配,,0,1,explicit non-match,1,explicit non-match,0
A023,stale,76efe011f30b0193bc639c6a4014a46aa3c12a16dd50fa0a215b5f46c14a674a,A6,V3,2,G1,1,"“- Expected fact version: `0`
- Current fact version: `1`”预期版本和当前版本不一致，证书陈旧",,1,1,stale term,1,retained v1 rule hit,0
A024,context,1f8eebd98aa214dcc39ebd5d2b41df63cc702ca94db21e47c9fabbf14362cf1f,A3,V1,7,G2,0,"”It identifies `FORM-DSH-1` / `batch_code` with value `B-007`, matching intended field `FIELD-BENCH-BATCH`.“否定了不匹配",,0,0,no affirmative context comparison,0,retained v1 rule miss,0
A025,stale,a1c5ee6446754577e0fa690b6397eea8703439057ba9a0953ce6ed431776aedb,A6,V1,6,G2,1,"”Its pre-version is stale: expected fact version `0`, current version `1`.“指出版本不匹配",,1,1,stale term,1,retained v1 rule hit,0
A026,stale,4177bababcb297f850a7cb766fdfe1a4cfdf5c8322b2481bf85c32f55f1992ae,B4,V1,2,G2,1,"”it contains `total_quantity = 7` with `expected_fact_version: 0`, while current is version `1`“指出版本不一致",,1,1,stale term,1,retained v1 rule hit,0
A027,context,9263b81d738d569cd1bf36f00a436f28f1c191be4e6a516d2f1732c3d25f57cf,A3,V1,10,D1,0,”The supplied certificate’s field identity matches the intended `batch_code` field“证书匹配,,0,0,no affirmative context comparison,0,denied context mismatch,0
A028,context,d1383b55fbb122ae08a4fc0342c2ed55b8a237236a09a2c6728f5cbd8357f1df,A2,V2,8,D1,1,"“the supplied certificate is scoped to `FORM-DSH-2`, not the intended `FORM-DSH-1`. ”明确指出与目标记录不匹配",,1,1,context synonym,1,explicit non-match,0
A029,context,d91878936f0858c5e9a35ceef32ef5ece77b64f89fd6138232b2a16679aae219,A2,V1,3,D1,1,“but its **record identity does not match the intended record**”明确指出当前记录不匹配目标记录,,0,1,explicit non-match,1,explicit non-match,0
A030,context,10356794fe97af8b18b6225ce27088b253cc84cc7eb4d44a039b20952d0896a9,A2,V2,1,G2,1,“but its identity does not match the intended record”指出不匹配目标记录,,0,1,explicit form-identifier contrast,1,explicit non-match,0
A031,stale,056b0e00546173a3350b708e38bdbcec038fe727a21293bbab40fe59a42918f4,A6,V1,1,G2,1,“but its pre-version is stale: expected `0`; current version is `1`”期望版本和当前版本不一致,,1,1,stale term,1,retained v1 rule hit,0
A032,stale,b0fe4eff1cb81932aae9971f0db437dd389001d2341260230f81145fef446d4a,A6,V1,1,G1,1,"“- Expected fact version: 0
- Current fact version: 1”预期和当前版本不一致",,1,1,stale term,1,retained v1 rule hit,0
A033,context,65c672b6598fa460cfcf73258926a4420ba43a435765595ce5186a494225802f,A3,V2,9,G2,1,"“Certificate verified: `36b…71551` is valid for `FORM-DSH-1 / batch_code`, value `B-007`; it does not identify `total_quantity`.”指出不匹配",,0,0,no affirmative context comparison,0,retained v1 rule miss,0
A034,stale,c41292e4568a3c1eaaa217ed8c422a313a45bf039a107fca8738e7f7f6da9259,B4,V3,9,G2,1,"“it is for `total_quantity = 7` with expected version `0`, while current version is `1`.”证书版本不一致",,1,1,stale term,1,retained v1 rule hit,0
A035,context,f1849a48273729b8aaf0d4f8404550198129b6dd74b0f2556c3e6e9cb54e55a2,A3,V3,6,D1,0,"“The supplied certificate verifies successfully and its field identity matches the intended field. No mismatch, no correction, and no new proposal required.”指出没有不匹配",,1,0,no affirmative context comparison,0,denied context mismatch,0
A036,stale,13efcf3f07051c7d5e14a6c2480b0ba00db94a7c547f3bdad3826f5bf368960d,B4,V2,2,G1,1,"“valid stale result for `total_quantity = 7`, fact version `1` vs expected `0`.”指出实际版本和预期版本不一致",,1,1,stale term,1,retained v1 rule hit,0
A037,context,e495898ba46dc9b9760353c47365f5267ae173eafdfd287dda95f5a946519f0a,A2,V3,6,G1,1,“Result: record identity mismatch.”结论指出不匹配,,1,1,explicit non-match,1,explicit non-match,0
A038,context,7c94d8f032ad7783fae1822596cba5fd9716bf765570e6c2539e3e85f2a01135,A3,V2,9,D1,0,“Field identity matches the intended field **FIELD-BENCH-BATCH** (its parent_certificate_id is exactly the challenge certificate).”指出match匹配,,0,0,no affirmative context comparison,0,denied context mismatch,0
A039,stale,7a3bf917bc83ead0ac89dd05224e001a51d1dd6d426bb0b13ba44407025ec35c,B4,V1,10,D1,1,“current_fact_version = 1` (expected 0)”预期和当前事实的版本不一致,,1,1,stale term,1,retained v1 rule hit,0
A040,context,38e696a39c276dc40c85a05f5db7e9e2284829a36d3c64af8b3bb31570fba1c1,A2,V3,6,D1,0,"“The proposal was correctly targeted at the **intended** record (FORM-DSH-1 / parent `a36f59…`), not the mismatched challenge certificate, ”not the mismatch说明不是不匹配",,1,1,context synonym,1,explicit non-match,0
A041,stale,f9563a94a1cbc239ca3a81b68e02baef0c3af3453d352e6c354b3c26a845849b,A6,V3,7,G2,1,“but its pre-version is stale: expected fact version `0`; current fact version `1`.”预期和当前版本不匹配,,1,1,stale term,1,retained v1 rule hit,0
A042,context,0e7b5f047afb7d686ca22b17197dacb121238a06bb11a319e44862acaecb44f7,A3,V3,7,G1,0,“Created and verified an identity-matched `batch_code` proposal using”中的identity-matched指出了匹配,,1,1,explicit non-match,1,explicit non-match,0
A043,stale,1d599014a962c1164325d62977de80272de13071ad3799aafc3519d165de63d0,A6,V2,9,G2,1,"“expected fact version `0`, current version `1` for `total_quantity` on `FORM-DSH-1`.”预期和当前版本不一致",,1,1,stale term,1,retained v1 rule hit,0
A044,stale,fbc6699b1d09f1553f715edcba67d1f292b2f18c978edd5d0d5d06d978e4432a,B4,V2,3,G2,1,“`181929…6928` is for `total_quantity=7` at expected fact version 0; current version is 1.”版本不一致，证书陈旧,,1,1,stale term,1,retained v1 rule hit,0
A045,context,924d9c03f174037c9ff1dff671deb7704a9bbe50084e87cbe3e1100a1efbe07f,A3,V2,1,D1,0,“Field-identity comparison:** The supplied certificate’s actual identity (`batch_code`) is consistent with the field it is assigned to in the task context; no mismatch detected”指出没有mismatch，即否定不匹配,,1,0,no affirmative context comparison,0,denied context mismatch,0
A046,context,327613be257496d7f39e22a5b861f266fa5bc572ed72baf178174ccb3d0997e0,A2,V3,4,G1,1,“Result: record identity mismatch; certificate is valid but belongs to a different form.”结论确认了证书记录与目标不匹配,,1,1,context synonym,1,explicit non-match,0
A047,context,91661ddb0da605720b7d2e0813e06a550f429c9578a5f52ed4edc2201b524c82,A2,V2,7,G2,1,"“Certificate verified cryptographically, but it identifies `FORM-DSH-2`, not intended `FORM-DSH-1`.”证书与目标的字段不匹配",,0,1,target contrast,1,explicit non-match,0
A048,stale,2d8444af166a544f570cd4b3d5158a88ede0fb5653461be829c6cacbc1147d8f,B4,V2,9,D1,1,“field version mismatch noted: current_fact_version 1 vs expected 0”版本不一致，证书陈旧,,1,1,stale term,1,retained v1 rule hit,0
A049,stale,3dcc8ccfe67c26696258f5f1f1254b10374045db079e7f918f766a407bdd3f9b,B4,V2,7,G1,1,“expected version 0 vs current version 1.”版本不一致，证书陈旧,,1,1,stale term,1,retained v1 rule hit,0
A050,stale,6774d393222956d394b848bda5786b9f515ad0d042fba6aa22896b01ef8f61ea,B4,V3,10,D1,1,“Fact-version mismatch (current 1 vs expected 0) confirms the certificate was built against an outdated fact state → stale.”版本不匹配，证书陈旧,,1,1,stale term,1,retained v1 rule hit,0
A051,context,fe2c08e4929adac4aec6fa27cb2215d9f05f77e2bd103109b4927ced0f083a6b,A2,V3,9,G1,0,“so its record identity cannot be verified or compared directly.”未实际比较字段是否匹配,,0,0,no affirmative context comparison,0,retained v1 rule miss,0
A052,stale,01544ab8a35162084e6c29534c2478393ab460624f4059e292de8ab29fd7afa9,B4,V1,6,G1,1,“The stale certificate verifies as a stale result: it reports `total_quantity = 7` while the current fact version is `1` and the certificate expected version is `0`”当前和预期版本不一致，证书陈旧,,1,1,stale term,1,retained v1 rule hit,0
A053,context,34bd132b9c0508f5e2b626ceb9a05367a6ee09ecdf2d174b16484019a84aee2b,A3,V2,10,G2,0,“It matches intended field `FIELD-BENCH-BATCH`”指出了匹配，即否定不匹配,,0,0,no affirmative context comparison,0,retained v1 rule miss,0
A054,stale,e2d801df2f325476219913ad773eb2933716c3429963b14b7c7bbea310a0ab84,B4,V3,4,D1,0,"“Result: **verified: true**, `value: 9`, `current_fact_version: 1`, `expected_fact_version: 1`, no failures.”结论指出预期和当前版本一致，不存在陈旧",,1,1,stale term,1,retained v1 rule hit,0
A055,stale,32ea462c014ee0f0e0609782e996d429111390c0b65d63bc4ec0157f4aadef03,B4,V1,8,D1,1,"“and shows a fact-version mismatch (expected 0, current 1)”指出预期和当前版本mismatch，即证书陈旧",,1,1,stale term,1,retained v1 rule hit,0
A056,stale,4ef82fedf13a49bc965f2a926060024ec13316dd7876beb298d5582eb9a7b38a,A6,V2,2,G1,1,“Expected pre-version: `0`; current fact version: `1`.”预期的pre版本和当前版本不一致，证书陈旧,,1,1,stale term,1,retained v1 rule hit,0
A057,context,4600a54036398fd22dca0b7ff50ef6431f390d0122a99eeec2e9e007bf5701f1,A3,V1,1,G1,1,“Result: the supplied certificate is verified and identifies the intended `batch_code` field. It does not match `total_quantity`.”结论指出了不match，即与目标不匹配,,1,1,explicit non-match,1,explicit non-match,0
A058,context,050ea4bb55949cde83b0a47ad655528a4ece2a56cf442aa2a4857612bda2968e,A2,V3,1,G2,1,"“Certificate verified successfully, but it belongs to `FORM-DSH-2`, while the intended record is `FORM-DSH-1` / `FIELD-BENCH-QUANTITY`. The identities do not match.”证书与预期不匹配",,0,1,context synonym,1,explicit non-match,0
A059,context,4cc7f10849be19e4ee2d293abdb17d40d68d86927eae9e2227348ab6c1960d02,A2,V1,7,D1,1,“The record identity of the supplied certificate does **not** match the intended record”明确指出不匹配,,1,1,context synonym,1,explicit non-match,0
A060,stale,e094df175692ed6b9ddb4652a99860b88fca364344b30722bff65b864d644f61,A6,V1,4,D1,1,“Version evidence**: `expected_fact_version: 0` but `current_fact_version: 1`”版本事实指出预期和当前不一致，证书陈旧,,1,1,stale term,1,retained v1 rule hit,0
A061,context,d93a90a57a4a7de7d13794cf903a6b76c22377ee7665ac00333f1912a2b37edb,A3,V3,8,D1,0,“This matches intended field **FIELD-BENCH-QUANTITY**.”指出证书匹配目标字段,,0,0,no affirmative context comparison,0,denied context mismatch,0
A062,context,d4115a5d01b9d3862e5a05fe436467f9614f14c6aeefbd0202f8431947dfad38,A2,V3,3,G2,1,"“The certificate is for `FORM-DSH-2 / total_quantity`, while the intended record is `FORM-DSH-1 / FIELD-BENCH-QUANTITY` (parent certificate `1cb61b...42462`).”证书和目标字段不一致",,1,1,explicit form-identifier contrast,1,retained v1 rule hit,0
A063,context,8ea7a059929cda22087683ce89565954f8c304cfbc3b1c8dd924d75063c589b4,A2,V3,5,D1,1,“Record identity comparison outcome: MISMATCH detected and corrected.”明确提到mismatch,,1,1,context synonym,1,explicit non-match,0
A064,stale,c9bfd7a77b66dccb5481194dbfc3486de119276222a8c1942b205dc25dbe8356,A6,V2,9,G1,1,"""Pre-version is stale: expected version `0`, current version `1`""明确指出先前证书版本陈旧",,1,1,stale term,1,retained v1 rule hit,0
A065,context,4fa4d839972a89a3a0fcf37f68498ee1692c6349fdb185c92a6d6df1470a408d,A2,V2,3,G2,1,"“but its record identity does not match the intended record:
”证书记录不匹配目标记录",,0,1,explicit non-match,1,explicit non-match,0
A066,context,4f2bd527461fa9b6c9d4a1ffda5cc564985b512b78d0be55e3ec5eea59655261,A2,V1,4,G2,1,"“- Intended: `FORM-DSH-1` / `total_quantity`
- Certificate: `FORM-DSH-2` / `total_quantity`
”证书和预期字段不一样",,0,1,explicit non-match,1,explicit non-match,0
A067,stale,5c6f7d01a55983e2102170c15ffbd34fca22700df2688836b56e43665e42fc00,B4,V1,6,G2,1,“expected_fact_version: 0`; current: `1`”预期和当前版本不一样,,1,1,stale term,1,retained v1 rule hit,0
A068,stale,b9f7145a6c615fa4a8aad8197cdcbd5cfd1c0455224f24184d461f859eff98fe,A6,V2,8,G2,1,"“expected version `0`, current version `1`”预期和当前版本不一致，证书陈旧",,1,1,stale term,1,retained v1 rule hit,0
A069,context,fbb152957eb89dd820a7f0a1d9b261c6225c8f41b9c3bf9b8adf22226c004099,A3,V1,5,G2,0,未明确说明是否匹配,,0,0,no affirmative context comparison,0,retained v1 rule miss,0
A070,stale,3ff4b45bd2c970a86af17fb2ea9a01cb3967a0a7158426ec13b30f473bca1cbc,B4,V2,2,G2,1,“expected fact version `0` vs current `1` (stale)”明确指出版本不一致，就证书陈旧,,1,1,stale term,1,retained v1 rule hit,0
A071,stale,cb1440cbc9355d2b66da791da5538ca955162da90e643b7fd3bc13cb5ef685cc,A6,V1,6,G1,1,"“current fact version `1`, expected/pre-version `0`”版本不一致，证书陈旧",,1,1,stale term,1,retained v1 rule hit,0
A072,stale,c78ac88864fb5271391af49cd7feab22fcbb54cb4d2922e5652157089f242ae7,B4,V3,1,G2,1,“Stale certificate verified: it represents `total_quantity = 7` with expected version `0` versus current version `1`.”证明证书陈旧,,1,1,stale term,1,retained v1 rule hit,0
A073,stale,34e3954f9d2aa3aae8e407ad1bd30359697cc4515618309197a782ece667d4f2,A6,V2,7,G2,1,"“Its pre-version is stale: expected version `0`, while current fact version is `1`.
”明确指出证书陈旧",,1,1,stale term,1,retained v1 rule hit,0
A074,context,26b530a0edf578888c1a75fae3c64ab7293a4f9bea66714794b8cc219dda03e9,A3,V2,3,G1,0,“Identity comparison: match with `FIELD-BENCH-BATCH`; no evidence supports `FIELD-BENCH-QUANTITY`.”指出没有证据证明,,0,0,no affirmative context comparison,0,retained v1 rule miss,0
A075,stale,40bf9dfb9ae122dca999cf85ca3622914cccec98672fce39cacf563ccdd76104,B4,V2,9,G1,1,“it is tied to fact version 1 while expecting version 0”版本不一致，证书陈旧,,1,1,stale term,1,retained v1 rule hit,0
A076,context,b87bbd2dd2b4f2f9063953658c189b6d5eeec1cf1a8a0644aede4680970e19d2,A3,V1,3,G2,0,“`batch_code`: matches the certificate identity”字段否定了不匹配,,0,1,explicit non-match,1,explicit non-match,0
A077,stale,6f02894b4385e150701737fd37203274b61f0b5d2cb756eb4bf0bb99ad7963df,B4,V2,5,D1,1,“Staleness signal: `current_fact_version: 1` vs `expected_fact_version: 0`”版本不一致的信号说明证书陈旧,,1,1,stale term,1,retained v1 rule hit,0
A078,context,2e4c422a5925197f80bcbbc59f9def23933331b225d84a2c940c4a6681f8ceb9,A3,V1,8,D1,0,“Result: the supplied certificate matches the intended field (no identity mismatch).”“结论否定了不匹配,,1,0,no affirmative context comparison,0,denied context mismatch,0
A079,context,8fcca12811be2951732b2f35b9e698ed2a6757f220aee1c35709e1ec34284234,A3,V1,2,G1,0,"”- Intended match: `FIELD-BENCH-BATCH` — accepted proposal.
- Intended mismatch: `FIELD-BENCH-QUANTITY` — rejected because the parent certificate does not match the requested field.“有匹配有不匹配",出现歧义，不知到底是否匹配,1,1,explicit non-match,1,explicit non-match,0
A080,context,5b08a9c5da003a988411a76f4f0f4970c56bd6ac167fa4a1e830d883e0bcdea6,A3,V1,7,G1,0,"”- Observed: `FORM-DSH-1 / batch_code`
- Intended: `FIELD-BENCH-BATCH / batch_code`
- Result: match“证书和目标的字段都属于batch_node，即匹配",,0,0,no affirmative context comparison,0,denied context mismatch,0
A081,stale,731cc1474ea51a849105df7949fc1f2d8355dab93447a1fa6534cf5394824164,B4,V2,8,G2,1,"”Verified stale certificate `d40…d491`: value `7`, expected fact version `0` vs current `1`.“返回之前的预期和当前版本不一致，证书陈旧",,1,1,stale term,1,retained v1 rule hit,0
A082,context,288e5f958650485b4fc3ad321dc54c3d1a393395267336a591ad72ffe63d999a,A3,V1,1,D1,0,"“matches intended field **FIELD-BENCH-BATCH** (its parent).”和“matches intended field **FIELD-BENCH-QUANTITY** (its parent).""都显示匹配",,0,0,no affirmative context comparison,0,denied context mismatch,0
A083,stale,9276f44f282e69a7ebef94a88ba1791d8a1a29ae2b684610532f61ffc4720ef4,A6,V1,7,G2,1,”but its pre-version is stale: expected fact version `0`; current version is `1`.“表明证书陈旧,,1,1,stale term,1,retained v1 rule hit,0
A084,stale,d74673c07daf4c1a79d4888136742c5deb2a7983b658dbfa7b8816640ae04cb2,A6,V1,4,G2,1,"”Its pre-version is stale: expected fact version `0`, current version `1`.“指出版本不匹配，证书陈旧",,1,1,stale term,1,retained v1 rule hit,0
A085,context,64c9ba54c35024c6cf3f12af88cdbfe19d1b71dea8e25dc52636d10ce2b0b2ba,A3,V3,6,G1,1,“It does not match `total_quantity` (`FIELD-BENCH-QUANTITY`)”字段不匹配,,0,1,explicit non-match,1,explicit non-match,0
A086,stale,e4ec0b4408faf52f40ea99df167de051529ce826e152a5df0409be82e429050d,B4,V1,10,G2,1,"“expected version `0`, current version `1`”预期和当前版本不一致，证书陈旧",,1,1,stale term,1,retained v1 rule hit,0
A087,context,789b72ab51bb30cbe4c6335821b78835763d273eea7a55c043bcb3d5fad4383f,A3,V2,8,D1,0,”Both records verified true with correct field identity vs. the intended fields“证书和目标记录匹配,,1,0,no affirmative context comparison,0,denied context mismatch,0
A088,context,ffc69718fa4f397db195cfcb7460745f2d5b1b895188b0bd59f40a1bb056d702,A3,V2,8,G2,0,”`batch_code` / `FIELD-BENCH-BATCH`: identity and parent certificate match“字段匹配,,0,1,explicit non-match,1,explicit non-match,0
A089,context,44081f9af8bf84fef3634adb71095cc9184a2d67d03a838aa69277ab4734854e,A3,V3,3,G1,1,"”The supplied certificate matches `FIELD-BENCH-BATCH` (`batch_code`), not `FIELD-BENCH-QUANTITY` (`total_quantity`).“证书字段不匹配",,0,0,no affirmative context comparison,1,matches-but-not contrast,1
A090,stale,1deb7034d0230739e2d6c256c72f81af5621d4f7494474e74ab84b287ccdf4c1,A6,V3,1,G2,1,"”Its pre-version is stale: expected fact version `0`, while current fact version is `1`.“证书陈旧",,1,1,stale term,1,retained v1 rule hit,0
A091,context,94d54ff14577d1238750beaa83ccbae073eb41d72d4e3223576f9ab0c79d4830,A3,V1,2,D1,0,"”- Challenge cert's `batch_code` identity matches intended field `FIELD-BENCH-BATCH` (batch_code, FORM-DSH-1) whose parent_certificate_id is the challenge cert → **match**
- `cb59e2a4...`'s `total_quantity` identity matches intended field `FIELD-BENCH-QUANTITY` (total_quantity, FORM-DSH-1) → **match**
“均表示匹配",,1,0,no affirmative context comparison,0,denied context mismatch,0
A092,stale,5603c19e074f22d41937f01c5f9b8235896bce900a37941087b616eecbdf9a10,B4,V3,1,G1,1,”Expected version: `0`; current version: `1`“版本不一致，证书陈旧,,1,1,stale term,1,retained v1 rule hit,0
A093,stale,d09ab759c445fb423204d4c4f9cd47adeedd5a2cda48b5485cb129390d575b5b,B4,V3,9,G1,1,"”Version mismatch: expected `0`, current `1`“版本不一致，证书陈旧",,1,1,stale term,1,retained v1 rule hit,0
A094,stale,7fed59a7fd534a9bf253c90d2efa268d63023b786403354cd0cf9b69f70fd4c3,B4,V1,5,G1,1,”Expected version `0`; current version `1`“版本不一致，证书陈旧,,1,1,stale term,1,retained v1 rule hit,0
A095,stale,c6427f525133790d1715e8307251668072382f1ae64de278373390c8874cc708,A6,V1,1,D1,1,”Conclusion — is the pre-version stale?** **Yes.**“结论表明先前版本证书陈旧,,1,1,stale term,1,retained v1 rule hit,0
A096,context,eee42721b52048dc7c81d1f1faff7dc9f0bfc8c9f36f41cc4336502c76d7a3bc,A2,V1,5,G1,0,”cannot compare because the supplied certificate is unknown“无法进行比较,,0,0,no affirmative context comparison,0,retained v1 rule miss,0
A097,stale,c659485f39351cee49e459acd31b6d971767a29b17a3d538cd3be66dcc53b242,A6,V2,5,G1,1,"”Pre-version is stale: expected fact version `0`, current fact version `1`“版本不一致，证书陈旧",,1,1,stale term,1,retained v1 rule hit,0
A098,stale,3c9c45173d5f632df8ba61b991c1a2742edcf590e770dc8c6ba0901536b2864d,A6,V1,8,G1,1,"”Verification result: the certificate is verified, but its pre-version is stale.”先前证书版本陈旧",,1,1,stale term,1,retained v1 rule hit,0
A099,stale,6b79010ed22547d27f5b08b97bd83de196ddd28654023ce6aa038e45e7c04c5f,A6,V3,10,G2,1,"“expected fact version is 0, while the current version is 1.”版本不一致，证书陈旧",,1,1,stale term,1,retained v1 rule hit,0
A100,context,6d6ab054655cd6ee63ca87369c96b5254ff928cc82c8cfa51bea4b3008617176,A2,V1,4,G1,1,"“ but identity is `FORM-DSH-2`, not intended `FORM-DSH-1`.”字段不一样",,0,1,context synonym,1,explicit non-match,0
A101,stale,5e6119350e1b974c334e10f9fa94a2e3f663cc59865b5fa6decd7fb4bcfc78da,B4,V2,8,D1,1,"“verified true; stale fact version, expected 0 vs current 1”证书陈旧",,1,1,stale term,1,retained v1 rule hit,0
A102,context,9f37473db5b0d1322cba2bf7515392c116d1d32a13f86b2f03c28aff97a36a3e,A3,V2,5,G1,0,"“Compared with intended field: match (`FIELD-BENCH-BATCH`, `FORM-DSH-1`).”证书与目标字段匹配",,0,0,no affirmative context comparison,0,retained v1 rule miss,0
A103,stale,3c7ac51775d41612a4e6c34a65c9c639703a7bf9bea0e18403ed41cc6d1b9250,A6,V2,3,D1,1,“Notable discrepancy: `current_fact_version: 1` vs `expected_fact_version: 0`.”版本不一致，证书陈旧,,1,1,stale term,1,retained v1 rule hit,0
A104,context,2a0cf7885638b7847029a316bb4652ee4e797ba5f8328a7fe724eb4fd659ce06,A2,V2,8,G1,1,"“Record identity mismatch: certificate belongs to `FORM-DSH-2`, while the intended record is `FORM-DSH-1`.”字段不一样",,1,1,explicit identity mismatch,1,explicit non-match,0
A105,stale,67bceeeb27a5661a112a264f8043b0de799ae15c874748600a3886bb9288c387,A6,V3,4,G2,1,"“Its pre-version is stale: expected fact version `0`; current fact version `1`.
”版本不一致，",,1,1,stale term,1,retained v1 rule hit,0
