case_id,scenario_id,model_config_id,prompt_variant_id,repetition,evaluable,rule_label,A1_label,A2_label,adjudicated_label
T043,B3,D1,V3,3,1,1,1,1,1
T044,B4,G1,V1,9,1,1,1,1,1
T045,B3,G2,V3,4,1,1,1,1,1
T046,B2,D1,V1,2,1,1,1,1,1
T047,B3,D1,V3,10,1,1,1,1,1
T048,B1,G1,V2,2,1,1,1,1,1
T049,B1,G2,V2,9,1,1,1,1,1
T050,B4,G2,V3,6,1,1,1,1,1
T051,B2,G2,V3,10,1,1,1,1,1
T052,B3,G1,V2,1,1,1,1,1,1
T053,B2,D1,V3,1,1,1,1,1,1
T054,B2,G2,V3,4,0,,1,1,1
T055,B1,G1,V1,10,1,1,1,1,1
T056,B3,G2,V3,3,0,,1,1,1
T057,B2,G1,V2,4,1,1,1,1,1
T058,B4,G2,V2,1,1,1,1,1,1
T059,B4,G1,V3,1,1,1,1,1,1
T060,B3,G1,V1,2,1,1,1,1,1
T061,B1,G2,V3,4,1,0,1,1,0
T062,B3,G1,V2,6,1,1,1,1,1
T063,B3,G2,V3,10,1,1,1,1,1
T064,B1,G2,V1,10,1,1,1,1,1
T065,B3,G1,V3,6,1,1,1,1,1
T066,B1,D1,V3,1,1,1,1,1,1
T067,B3,D1,V3,6,1,1,1,1,1
T068,B2,G2,V1,4,1,1,1,1,1
T069,B3,D1,V2,1,1,1,1,1,1
T070,B2,G2,V1,2,0,,1,1,1
T071,B2,G2,V2,5,1,1,1,1,1
T072,B3,D1,V2,6,1,1,1,1,1
T073,B3,G1,V2,3,1,1,1,1,1
T074,B4,G2,V1,2,1,1,1,1,1
T075,B2,D1,V2,4,1,1,1,1,1
T076,B4,G2,V1,8,1,1,1,1,1
T077,B2,G2,V1,8,1,1,1,1,1
T078,B1,D1,V2,3,1,1,1,1,1
T079,B2,G1,V3,2,1,1,1,1,1
T080,B4,D1,V3,1,0,,9,9,9
T081,B2,G1,V3,8,1,1,1,1,1
T082,B4,G2,V1,4,1,1,1,1,1
T083,B1,D1,V1,9,1,1,1,1,1
T084,B4,G2,V1,3,1,1,1,1,1
T085,B2,D1,V1,4,1,1,1,1,1
T086,B2,G2,V2,8,1,1,1,1,1
T087,B1,G1,V3,5,1,1,1,1,1
T088,B2,G2,V2,4,1,1,1,1,1
T089,B4,G1,V3,4,1,1,1,1,1
T090,B4,D1,V1,3,1,1,1,1,1
T091,B4,G1,V2,10,1,1,1,1,1
T092,B3,G1,V1,3,1,1,1,1,1
T093,B1,D1,V3,8,1,1,1,1,1
T094,B1,G2,V3,2,1,1,1,1,1
T095,B1,D1,V3,9,1,1,1,1,1
T096,B4,G1,V2,3,1,1,1,1,1
T097,B3,G2,V1,2,1,1,1,1,1
T098,B4,G2,V2,4,1,1,1,1,1
T099,B4,G2,V2,5,1,1,1,1,1
T100,B2,G2,V3,1,0,,9,9,9
T101,B3,G2,V2,5,1,1,1,1,1
T102,B1,G1,V2,5,1,1,1,1,1
T103,B2,G1,V1,10,1,1,1,1,1
T104,B4,D1,V3,7,1,1,1,1,1
T105,B1,G1,V3,9,1,1,1,1,1
T106,B1,G2,V1,8,1,1,1,1,1
T107,B3,G2,V1,4,1,1,1,1,1
T108,B4,G2,V3,9,1,1,1,1,1
T109,B1,D1,V1,6,1,1,1,1,1
T110,B4,G2,V3,7,1,1,1,1,1
T111,B2,G2,V3,3,1,1,1,1,1
T112,B3,G1,V1,1,1,1,1,1,1
T113,B1,G1,V2,4,1,1,1,1,1
T114,B2,D1,V3,8,1,1,1,1,1
T115,B4,G2,V1,10,1,1,1,1,1
T116,B4,G2,V3,8,1,1,1,1,1
T117,B1,G2,V3,8,1,1,1,1,1
T118,B4,G1,V1,6,1,1,1,1,1
T119,B4,D1,V2,3,1,1,1,1,1
T120,B4,D1,V2,8,1,0,1,1,0
T121,B4,G1,V2,8,1,1,1,1,1
T122,B1,D1,V2,2,1,0,1,1,0
T123,B3,G1,V2,9,1,1,1,1,1
T124,B3,D1,V3,2,1,1,1,1,1
T125,B2,G2,V2,2,1,1,1,1,1
T126,B4,D1,V3,8,1,0,1,1,0
T127,B1,G1,V2,1,1,1,1,1,1
T128,B4,G2,V2,9,1,1,1,1,1
T129,B1,G2,V3,6,1,1,1,1,1
T130,B3,G1,V3,4,1,0,0,0,0
T131,B4,D1,V1,9,0,,9,9,9
T132,B4,G1,V2,4,1,1,1,1,1
T133,B2,G1,V1,5,0,,9,9,9
T134,B2,D1,V3,4,1,1,1,1,1
T135,B3,G1,V3,7,1,1,1,1,1
T136,B2,G2,V1,10,0,,9,9,9
T137,B3,G2,V2,3,1,1,1,1,1
T138,B3,D1,V2,9,1,1,1,1,1
T139,B1,G2,V1,9,1,1,1,1,1
T140,B2,D1,V2,9,1,1,1,1,1
T141,B3,G2,V3,2,1,1,1,1,1
T142,B4,G1,V3,3,1,0,1,1,0
T143,B4,G2,V3,1,1,1,1,1,1
T144,B1,G1,V1,3,1,1,1,1,1
T145,B1,G2,V2,2,1,1,1,1,1
T146,B2,G1,V3,3,1,1,1,1,1
T147,B2,G1,V2,1,1,1,1,1,1
T148,B2,D1,V2,10,0,,9,9,9
T149,B2,D1,V3,6,1,1,1,1,1
T150,B2,G1,V2,9,1,1,1,1,1
T151,B4,D1,V3,4,1,1,1,1,1
T152,B4,D1,V3,6,1,0,1,1,0
T153,B4,D1,V1,7,0,,1,0,0
T154,B2,D1,V1,9,1,1,1,1,1
T155,B2,G2,V2,6,1,1,1,1,1
T156,B3,D1,V1,4,1,1,1,1,1
T157,B3,G2,V1,1,1,1,1,1,1
T158,B1,G1,V3,4,1,1,1,1,1
T159,B1,G1,V1,1,1,1,1,1,1
T160,B2,D1,V1,3,1,1,1,1,1
T161,B3,G2,V3,7,1,1,1,1,1
T162,B3,G1,V1,7,1,1,1,1,1
T163,B2,G2,V2,7,1,1,1,1,1
T164,B3,G1,V3,5,1,1,1,1,1
T165,B1,D1,V1,7,1,1,1,1,1
T166,B2,G2,V3,2,0,,9,9,9
T167,B2,G2,V3,9,0,,1,1,1
T168,B3,G2,V2,1,1,1,1,1,1
T169,B4,G2,V2,6,1,1,1,1,1
T170,B4,D1,V1,6,1,1,1,1,1
T171,B3,G2,V3,8,1,0,1,1,0
T172,B4,G1,V1,7,1,1,1,1,1
T173,B4,G1,V3,10,1,1,1,1,1
T174,B3,G1,V2,7,1,1,1,1,1
T175,B2,G2,V1,5,1,1,1,1,1
T176,B1,D1,V2,8,1,1,1,1,1
T177,B1,G1,V2,6,1,1,1,1,1
T178,B2,G2,V3,8,1,1,1,1,1
T179,B2,D1,V1,7,1,1,1,1,1
T180,B3,D1,V2,10,1,1,1,1,1
T181,B2,G2,V2,3,1,1,1,1,1
T182,B3,G1,V3,10,1,1,1,1,1
T183,B4,D1,V3,10,1,0,1,1,0
T184,B3,G2,V2,2,1,1,1,1,1
T185,B2,G1,V3,5,1,1,1,1,1
T186,B2,G1,V1,3,1,1,1,1,1
T187,B3,D1,V1,7,1,1,1,1,1
T188,B1,G2,V1,6,1,1,1,1,1
T189,B3,G1,V3,8,1,1,1,1,1
T190,B2,D1,V1,1,1,1,1,1,1
T191,B1,G1,V2,7,1,1,1,1,1
T192,B3,G2,V2,10,1,1,1,1,1
T193,B3,D1,V3,4,0,,9,9,9
T194,B2,G1,V2,5,1,1,1,1,1
T195,B3,G2,V3,9,1,1,1,1,1
T196,B4,G1,V2,9,1,1,1,1,1
T197,B2,G1,V3,7,1,1,1,1,1
T198,B4,G1,V3,7,1,1,1,1,1
T199,B2,G1,V3,6,1,1,1,1,1
T200,B1,G1,V1,9,1,1,1,1,1
T201,B3,D1,V3,1,1,1,1,1,1
T202,B3,D1,V2,4,1,1,1,1,1
T203,B4,G1,V1,8,1,1,1,1,1
T204,B3,G1,V2,8,1,1,1,1,1
T205,B2,G1,V2,6,1,1,1,1,1
T206,B3,G2,V1,7,1,1,1,1,1
T207,B2,G2,V1,3,1,1,1,1,1
T208,B2,D1,V2,8,1,1,1,1,1
T209,B4,G1,V1,10,1,1,1,1,1
T210,B4,G2,V2,10,1,1,1,1,1
T211,B4,D1,V2,6,1,1,1,1,1
T212,B3,D1,V1,8,1,1,1,1,1
T213,B3,G1,V1,8,1,1,1,1,1
T214,B3,D1,V2,8,1,1,1,1,1
T215,B2,D1,V3,10,1,1,1,1,1
T216,B2,G1,V1,1,1,1,1,1,1
T217,B1,G1,V2,3,1,1,1,1,1
T218,B1,G1,V3,2,1,1,1,1,1
T219,B2,G2,V2,10,1,1,1,1,1
T220,B2,G1,V1,7,1,1,1,1,1
T221,B3,G2,V1,9,1,1,1,1,1
T222,B3,D1,V2,7,0,,9,9,9
T223,B2,G2,V1,1,1,1,1,1,1
T224,B3,G1,V2,2,1,0,0,0,0
T225,B4,G1,V3,8,1,1,1,1,1
T226,B4,D1,V1,4,1,0,1,1,0
T227,B2,D1,V3,3,1,1,1,1,1
T228,B3,G2,V2,8,1,1,1,1,1
T229,B2,G1,V1,8,1,1,1,1,1
T230,B1,G2,V2,4,1,1,1,1,1
T231,B1,G1,V2,8,1,1,1,1,1
T232,B3,G2,V1,3,1,1,1,1,1
T233,B4,G1,V3,6,1,1,1,1,1
T234,B3,G1,V2,10,1,1,1,1,1
T235,B4,G2,V1,5,0,,1,1,1
T236,B4,G1,V1,5,1,1,1,1,1
T237,B2,G2,V3,6,1,1,1,1,1
T238,B3,G2,V2,6,1,1,1,1,1
T239,B1,D1,V1,10,1,1,1,1,1
T240,B4,G2,V1,6,1,1,1,1,1
T241,B4,G2,V3,5,1,1,1,1,1
T242,B4,G2,V2,2,1,1,1,1,1
T243,B2,D1,V1,10,1,1,1,1,1
T244,B3,D1,V1,1,1,1,1,1,1
T245,B3,G2,V2,4,1,1,1,1,1
T246,B2,G1,V1,9,1,1,1,1,1
T247,B2,D1,V2,1,1,1,1,1,1
T248,B4,D1,V3,9,1,0,1,1,0
T249,B2,D1,V2,2,1,1,1,1,1
T250,B1,G2,V1,3,1,1,1,1,1
T251,B1,G2,V2,3,1,1,1,1,1
T252,B2,G1,V2,10,1,1,1,1,1
T253,B4,G1,V1,3,1,1,1,1,1
T254,B1,D1,V1,3,1,1,1,1,1
T255,B2,G1,V2,3,1,1,1,1,1
T256,B2,G1,V3,4,1,1,1,1,1
T257,B1,G2,V3,1,1,1,1,1,1
T258,B2,D1,V2,5,1,1,1,1,1
T259,B4,D1,V1,5,0,,9,9,9
T260,B2,G1,V3,10,1,1,1,1,1
T261,B1,G2,V3,3,1,1,1,1,1
T262,B3,D1,V3,7,1,1,1,1,1
T263,B3,D1,V3,8,1,1,1,1,1
T264,B4,G2,V2,8,1,1,1,1,1
T265,B1,G1,V3,6,1,1,1,1,1
T266,B2,G1,V2,2,1,1,1,1,1
T267,B1,D1,V2,10,1,1,1,1,1
T268,B1,D1,V3,5,1,1,1,1,1
T269,B1,G2,V2,7,1,1,1,1,1
T270,B3,G2,V3,5,1,1,1,1,1
T271,B3,G2,V2,9,1,1,1,1,1
T272,B1,G1,V1,6,1,1,1,1,1
T273,B2,G2,V2,9,1,1,1,1,1
T274,B3,G1,V3,1,1,1,1,1,1
T275,B1,D1,V2,4,0,,9,9,9
T276,B3,G2,V3,1,1,1,1,1,1
T277,B1,G1,V1,4,1,1,1,1,1
T278,B4,D1,V1,2,1,1,1,1,1
T279,B3,D1,V1,10,1,1,1,1,1
T280,B4,G1,V2,7,1,1,1,1,1
T281,B1,G2,V1,7,1,1,1,1,1
T282,B3,G2,V1,10,1,1,1,1,1
T283,B3,D1,V1,5,1,1,1,1,1
T284,B1,G2,V2,6,1,1,1,1,1
T285,B4,G1,V3,5,1,1,1,1,1
T286,B1,D1,V1,4,1,1,1,1,1
T287,B4,D1,V2,10,1,1,1,1,1
T288,B2,G2,V1,6,1,1,1,1,1
T289,B4,G1,V3,2,1,1,1,1,1
T290,B3,D1,V3,9,1,1,1,1,1
T291,B1,D1,V3,2,1,1,1,1,1
T292,B1,G2,V2,8,1,1,1,1,1
T293,B4,G1,V1,4,1,1,1,1,1
T294,B3,D1,V1,6,1,1,1,1,1
T295,B4,G1,V2,6,1,1,1,1,1
T296,B2,D1,V3,7,1,1,1,1,1
T297,B2,G2,V3,5,1,1,1,1,1
T298,B1,G2,V3,5,1,1,1,1,1
T299,B2,G2,V2,1,1,1,1,1,1
T300,B4,G1,V3,9,1,1,1,1,1
T301,B2,G1,V3,1,1,1,1,1,1
T302,B1,G1,V3,10,1,1,1,1,1
T303,B1,D1,V2,5,1,1,1,1,1
T304,B3,G2,V1,8,1,1,1,1,1
T305,B2,D1,V1,6,1,1,1,1,1
T306,B4,D1,V1,10,1,1,1,1,1
T307,B2,G1,V3,9,1,1,1,1,1
T308,B1,D1,V1,5,1,1,1,1,1
T309,B1,D1,V2,7,1,1,1,1,1
T310,B3,G1,V1,6,1,1,1,1,1
T311,B4,G1,V1,2,1,1,1,1,1
T312,B1,G1,V2,9,1,1,1,1,1
T313,B2,G1,V2,8,1,1,1,1,1
T314,B3,G1,V1,9,1,0,0,0,0
T315,B1,G1,V3,1,1,1,1,1,1
T316,B1,G1,V1,5,1,1,1,1,1
T317,B1,D1,V1,8,1,1,1,1,1
T318,B2,D1,V2,6,1,1,1,1,1
T319,B3,D1,V2,5,1,1,1,1,1
T320,B3,D1,V1,9,1,1,1,1,1
T321,B2,G2,V1,9,0,,0,0,0
T322,B4,G2,V3,3,1,1,1,1,1
T323,B3,D1,V3,5,1,1,1,1,1
T324,B3,G1,V3,9,1,1,1,1,1
T325,B2,G1,V1,2,1,1,1,1,1
T326,B1,G2,V1,4,1,1,1,1,1
T327,B4,G1,V2,2,1,1,1,1,1
T328,B1,D1,V2,1,1,1,1,1,1
T329,B2,D1,V1,5,1,1,1,1,1
T330,B4,D1,V2,9,1,1,1,1,1
T331,B1,G2,V1,5,1,1,1,1,1
T332,B1,D1,V2,9,1,1,1,1,1
T333,B4,D1,V2,1,1,1,1,1,1
T334,B1,G2,V1,1,1,1,1,1,1
T335,B2,D1,V3,5,1,1,1,1,1
T336,B4,G2,V2,7,1,1,1,1,1
T337,B1,D1,V2,6,1,1,1,1,1
T338,B1,G1,V1,8,1,1,1,1,1
T339,B4,D1,V2,4,1,1,1,1,1
T340,B4,G2,V2,3,1,1,1,1,1
T341,B3,G2,V1,6,1,1,1,1,1
T342,B1,G2,V3,7,0,,1,1,1
T343,B3,G1,V3,2,1,1,1,1,1
T344,B4,G1,V2,1,1,1,1,1,1
T345,B4,G2,V3,2,1,1,1,1,1
T346,B3,G2,V2,7,0,,1,1,1
T347,B4,D1,V3,5,1,1,1,1,1
T348,B3,D1,V1,3,1,1,1,1,1
T349,B4,D1,V3,2,0,,9,9,9
T350,B1,G2,V1,2,1,1,1,1,1
T351,B1,G1,V1,2,1,0,0,0,0
T352,B4,D1,V2,7,0,,9,9,9
T353,B1,G2,V3,9,1,1,1,1,1
T354,B1,G1,V1,7,1,1,1,1,1
T355,B1,D1,V1,2,1,1,1,1,1
T356,B3,G1,V1,4,1,1,1,1,1
T357,B2,D1,V1,8,1,1,1,1,1
T358,B3,G1,V3,3,1,1,1,1,1
T359,B2,G1,V1,4,1,1,1,1,1
T360,B2,G1,V2,7,1,1,1,1,1
